LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
SUROCCIDENTE,EL CARMEN,I.E.D SOFIA CAMARGO DE LLERAS,BISUTERÍA Y ACCESORIOS,miercoles,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ELKIN PATARROYO,GUITARRA,domingo,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D MADRE MARCELINA,TEJIDO,jueves,02:00-06:00
SUROCCIDENTE,SOURDIS,I.E.D EVARISTO SOURDIS,PINTURA,sabado,08:00-12:00
SURORIENTE,LA UNION,CENTRO DE ATENCION SUPERAR,PINTURA,miercoles,08:00-12:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,PINTURA,sabado,08:00-12:00
METROPOLITANA,LA VICTORIA,I.E.D LA VICTORIA,CONFECCION ARTESANAL,sabado,02:00-06:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,TEJIDO,viernes,02:00-06:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,ACORDEON,martes,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D LUZ DEL CARIBE,DANZA FOLCLORICA,sabado,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,GUITARRA,sabado,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,GUITARRA,sabado,08:00-12:00
N.C.H.,BARLOVENTO,I.E.D BRISAS DEL RIO,DANZA MODERNA,jueves,02:00-06:00
SUROCCIDENTE,LA MANGA,BIBLIOTECA POPULAR LA MANGA,PINTURA,jueves,02:00-06:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,TEATRO,sabado,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),INSTRUMENTOS DE VIENTO,miercoles,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,LITERATURA,sabado,08:00-12:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),INSTRUMENTOS DE VIENTO,miercoles,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D NUEVO BOSQUE,PINTURA,jueves,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D DESPERTAR DEL SUR,DANZA MODERNA,sabado,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,INSTRUMENTOS DE VIENTO,domingo,08:00-12:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,INSTRUMENTOS DE VIENTO,domingo,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,PERCUSION,viernes,02:00-06:00
SUROCCIDENTE,CALIFORNIA,HOGAR INFANTIL LAS MALVINAS (FE Y ALEGRIA),LITERATURA,viernes,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,DIBUJO,sabado,08:00-12:00
RIOMAR,LA PLAYA,I.E.D EL CAÑAHUATE SEDE 2,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D CRUZADA SOCIAL,INICIACION MUSICAL,jueves,08:00-12:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,DANZA FOLCLORICA,sabado,08:00-12:00
N.C.H.,SANTA ANA,I.E.D DEL DESARROLLO HUMANO Y CULTURAL DEL CARIBE,PINTURA,viernes,08:00-12:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,GUITARRA,jueves,02:00-06:00
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,DIBUJO,domingo,08:00-12:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,DANZA URBANA,jueves,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 2,DANZA URBANA,jueves,02:00-06:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),LITERATURA,martes,08:00-12:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,DANZA FOLCLORICA,sabado,08:00-12:00
METROPOLITANA,LA VICTORIA,HOGAR INFANTIL LA VICTORIA,PERCUSION,martes,08:00-12:00
METROPOLITANA,SANTA MARIA,I.E.D SANTA MARIA,DANZA FOLCLORICA,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,PINTURA,miercoles,08:00-12:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,DANZA URBANA,jueves,02:00-06:00
N.C.H.,CHIQUINQUIRA,CDI CHIQUINQUIRA FAMILIAR MAI,PINTURA,viernes,08:00-12:00
SURORIENTE,LA UNION,CENTRO DE ATENCION SUPERAR,PERCUSION,viernes,08:00-12:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,SEMILLAS Y FRUTOS,sabado,02:00-06:00
SUROCCIDENTE,LA PRADERA,I.E.D BETZABE ESPINOSA,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,CENTRO PENITENCIARIO EL BOSQUE,PERCUSION,viernes,08:00-12:00
SURORIENTE,BOYACA,I.E.D SAN GABRIEL,INSTRUMENTOS DE VIENTO,jueves,02:00-06:00
N.C.H.,EL ROSARIO,I.E.D INSTECO (INSTITUTO TECNICO DEL COMERCIO),DANZA MODERNA,sabado,08:00-12:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,TEJIDO,martes,02:00-06:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,ENSAMBLES,sabado,08:00-12:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,C.D.C EL BOSQUE,PERCUSION,miercoles,02:00-06:00
SUROCCIDENTE,LAS MALVINAS,I.E.D MUNDO BOLIVARIANO,DIBUJO,sabado,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,CONFECCION ARTESANAL,viernes,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,PINTURA,viernes,02:00-06:00
N.C.H.,CHIQUINQUIRA,CENTRO DE REHABILITACION FEMENINA EL BUEN PASTOR,DANZA MODERNA,jueves,02:00-06:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,DIBUJO,miercoles,08:00-12:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,ACORDEON,sabado,08:00-12:00
SUROCCIDENTE,CARLOS MEISEL,HOGAR INFANTIL CARLOS MEISEL (FE Y ALEGRIA),PERCUSION,viernes,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,GUITARRA,sabado,02:00-06:00
SURORIENTE,EL FERRY,CDI LA MILAGROSA FERRY,LITERATURA,miercoles,08:00-12:00
N.C.H.,BOSTON,I.E.D CODEBA,TEATRO,sabado,08:00-12:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,DANZA FOLCLORICA,jueves,02:00-06:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),CIRCO,miercoles,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,TEATRO,viernes,02:00-06:00
SURORIENTE,UNIVERSAL,ASILO HOGAR GRANJA SAN JOSE,DANZA FOLCLORICA,viernes,08:00-12:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,TEATRO,viernes,02:00-06:00
RIOMAR,VEREDA LAS NUBES,CENTRO DE EDUCACION BASICA N. 201,PINTURA,miercoles,08:00-12:00
SURORIENTE,BELLARENA,I.E.D OCTAVIO PAZ,RECICLAJE Y MANUALIDADES,sabado,02:00-06:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,PERCUSION,sabado,08:00-12:00
METROPOLITANA,SANTA MARIA,I.E.D SANTA MARIA,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,PERCUSION,jueves,02:00-06:00
SURORIENTE,LA LUZ,I.E.D SAN MIGUEL ARCANGEL,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,LOS PINOS,I.E.D PARA EL DESARROLLO DEL TALENTO HUMANO,DIBUJO,jueves,02:00-06:00
SUROCCIDENTE,EL PUEBLO,I.E.D EL PUEBLO,TEATRO,sabado,02:00-06:00
SUROCCIDENTE,LA MANGA,I.E.D DENIS HERRERA DE VILLA,MADERA,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,PERCUSION,sabado,08:00-12:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,INSTRUMENTOS DE VIENTO,viernes,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,CARIBE VERDE,CASA HOGAR VICTOR TAMAYO,TEATRO,martes,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),PERCUSION,miercoles,02:00-06:00
METROPOLITANA,CARRIZAL,AEIOTU EN CASA,DANZA FOLCLORICA,miercoles,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,INICIACION MUSICAL,sabado,08:00-12:00
SUROCCIDENTE,LA MANGA,I.E.D DENIS HERRERA DE VILLA,DIBUJO,sabado,08:00-12:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,CENTRO,"FUNDACION PARA LA INVESTIGACION Y EL DESARROLLO DE LA EDUCACION ESPECIAL ""FIDES""",DANZA FOLCLORICA,martes,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,SEMILLAS Y FRUTOS,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,LITERATURA,miercoles,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,INICIACION MUSICAL,sabado,02:00-06:00
SURORIENTE,PASADENA,SEDE NUEVO AMANECER,BISUTERÍA Y ACCESORIOS,viernes,08:00-12:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,TEATRO,sabado,08:00-12:00
SURORIENTE,REBOLO,FUNDACION SENDEROS DE SABIDURIA,TEJIDO,martes,02:00-06:00
METROPOLITANA,LA VICTORIA,HOGAR INFANTIL LA VICTORIA,RECICLAJE Y MANUALIDADES,jueves,02:00-06:00
SURORIENTE,UNIVERSAL,ASILO HOGAR GRANJA SAN JOSE,BISUTERÍA Y ACCESORIOS,jueves,08:00-12:00
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,CONFECCION ARTESANAL,miercoles,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
METROPOLITANA,GARDENIAS,BIBLIOTECA GARDENIAS,DANZA URBANA,viernes,02:00-06:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,Maquillaje artistico,jueves,02:00-06:00
N.C.H.,CHIQUINQUIRA,CDI CHIQUINQUIRA FAMILIAR MAI,PERCUSION,miercoles,08:00-12:00
